protocol,name,address,data_type,access,initial_value,notes
ModbusTcp,Coil1,00001,Coil,ReadWrite,false,UnitId=1 Port=1502
ModbusTcp,Coil2,00002,Coil,ReadWrite,true,UnitId=1 Port=1502
ModbusTcp,Int16,40001,Int16,ReadWrite,1234,Big-endian
ModbusTcp,UInt16,40002,UInt16,ReadWrite,54321,Big-endian
ModbusTcp,Int32,40003,Int32,ReadWrite,-123456,Uses registers 40003-40004
ModbusTcp,UInt32,40005,UInt32,ReadWrite,3456789012,Uses registers 40005-40006
ModbusTcp,Int64,40007,Int64,ReadWrite,-1234567890123,Uses 4 registers
ModbusTcp,UInt64,40011,UInt64,ReadWrite,12345678901234,Uses 4 registers
ModbusTcp,Float,40015,Float,ReadWrite,25.5,Uses 2 registers
ModbusTcp,Double,40017,Double,ReadWrite,1234.5678,Uses 4 registers
ModbusTcp,String,40021,String,ReadWrite,IPC-MODBUS-TEST,16 bytes
SiemensS7,Bool1,DB1.DBX0.0,Bool,ReadWrite,true,Rack=0 Slot=1 Port=1102
SiemensS7,Int8,DB1.DBB2,Int8,ReadWrite,-12,Rack=0 Slot=1
SiemensS7,UInt8,DB1.DBB3,UInt8,ReadWrite,250,Rack=0 Slot=1
SiemensS7,Int16,DB1.DBW4,Int16,ReadWrite,-1234,Rack=0 Slot=1
SiemensS7,UInt16,DB1.DBW6,UInt16,ReadWrite,54321,Rack=0 Slot=1
SiemensS7,Int32,DB1.DBD8,Int32,ReadWrite,-12345678,Rack=0 Slot=1
SiemensS7,UInt32,DB1.DBD12,UInt32,ReadWrite,3456789012,Rack=0 Slot=1
SiemensS7,Int64,DB1.DBB16,Int64,ReadWrite,-1234567890123,Rack=0 Slot=1
SiemensS7,UInt64,DB1.DBB24,UInt64,ReadWrite,12345678901234,Rack=0 Slot=1
SiemensS7,Float,DB1.DBD32,Float,ReadWrite,25.5,Rack=0 Slot=1
SiemensS7,Double,DB1.DBB36,Double,ReadWrite,1234.5678,Rack=0 Slot=1
SiemensS7,String,DB1.DBB48,String,ReadWrite,IPC-S7-TEST,S7 string max length 30
BACnetIp,Bool1,binaryValue:1:presentValue,Bool,ReadWrite,true,DeviceInstance=599 UDP=47808
BACnetIp,Bool2,binaryValue:2:presentValue,Bool,ReadWrite,false,DeviceInstance=599 UDP=47808
BACnetIp,Float1,analogValue:1:presentValue,Float,ReadWrite,25.5,DeviceInstance=599
BACnetIp,Float2,analogValue:2:presentValue,Float,ReadWrite,-12.75,DeviceInstance=599
BACnetIp,Double1,largeAnalogValue:1:presentValue,Double,ReadWrite,1234.5678,DeviceInstance=599
BACnetIp,Int1,integerValue:1:presentValue,Int32,ReadWrite,-123456,DeviceInstance=599
BACnetIp,UInt1,positiveIntegerValue:1:presentValue,UInt32,ReadWrite,345678,DeviceInstance=599
BACnetIp,String1,characterstringValue:1:presentValue,String,ReadWrite,IPC-BACNET-TEST,DeviceInstance=599
RockwellCip,Bool1,BoolTags[0],Bool,ReadWrite,false,TCP/UDP 44818
RockwellCip,Int8_1,SIntTags[0],Int8,ReadWrite,0,TCP/UDP 44818
RockwellCip,Int16_1,IntTags[0],Int16,ReadWrite,0,TCP/UDP 44818
RockwellCip,Int32_1,DIntTags[0],Int32,ReadWrite,0,TCP/UDP 44818
RockwellCip,Float1,RealTags[0],Float,ReadWrite,0,TCP/UDP 44818
RockwellCip,String1,StringTags[0],String,ReadWrite,,TCP/UDP 44818
Snmp,SysName,1.3.6.1.2.1.1.5.0,String,ReadWrite,ipc-snmp-simulator,SNMPv2c community=public UDP=1161
Snmp,IntValue,1.3.6.1.4.1.53864.1.1.0,Int32,ReadWrite,-1234,SNMPv2c community=public
Snmp,GaugeValue,1.3.6.1.4.1.53864.1.2.0,UInt32,ReadWrite,54321,SNMPv2c community=public
Snmp,CounterValue,1.3.6.1.4.1.53864.1.3.0,UInt32,ReadWrite,123456,SNMPv2c community=public
Snmp,Counter64Value,1.3.6.1.4.1.53864.1.4.0,UInt64,ReadWrite,12345678901234,SNMPv2c community=public
Snmp,StringValue,1.3.6.1.4.1.53864.1.5.0,String,ReadWrite,IPC-SNMP-TEST,SNMPv2c community=public
ModbusTcp,Int16Array,40065,Int16Array,ReadWrite,"[-10,20,-30,40]",ElementCount=4
ModbusTcp,UInt16Array,40069,UInt16Array,ReadWrite,"[10,200,3000,40000]",ElementCount=4
ModbusTcp,Int32Array,40073,Int32Array,ReadWrite,"[-10000,20000,-30000,40000]",ElementCount=4
