"deviceName","groupName","tagName","address","dataType","scanRateMs","enabled","mqttPublishEnabled","unit","pointCode","accessMode","description"
"ChannelD1101.DeviceD1101","","AskBARCODE1","D0005510","Int16","100","true","false","","D0005510","ReadWrite","润滑条码1"
"ChannelD1101.DeviceD1101","","AskBARCODE2","D0005511","Int16","100","true","false","","D0005511","ReadWrite","润滑条码2"
"ChannelD1101.DeviceD1101","","AskBARCODE3","D0005512","Int16","100","true","false","","D0005512","ReadWrite","润滑条码3"
"ChannelD1101.DeviceD1101","","AskBARCODE4","D0005513","Int16","100","true","false","","D0005513","ReadWrite","润滑条码4"
"ChannelD1101.DeviceD1101","","AskBARCODE5","D0005514","Int16","100","true","false","","D0005514","ReadWrite","润滑条码5"
"ChannelD1101.DeviceD1101","","AskBARCODE6","D0005515","Int16","100","true","false","","D0005515","ReadWrite","润滑条码6"
"ChannelD1101.DeviceD1101","","AskBARCODE7","D0005516","Int16","100","true","false","","D0005516","ReadWrite","润滑条码7"
"ChannelD1101.DeviceD1101","","AskBARCODE8","D0005517","Int16","100","true","false","","D0005517","ReadWrite","润滑条码8"
"ChannelD1101.DeviceD1101","","AskBARCODE9","D0005518","Int16","100","true","false","","D0005518","ReadWrite","润滑条码9"
"ChannelD1101.DeviceD1101","","CCW_LFD_KFG","D0010134","Int16","100","true","false","","D0010134","ReadWrite","CCW  LFD  量(+/-)"
"ChannelD1101.DeviceD1101","","CCW_LFV_10H_DEG","D0010130","Int16","100","true","false","","D0010130","ReadWrite","CCW  LFV  10H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_10H_KGF","D0010129","Int16","100","true","false","","D0010129","ReadWrite","CCW  LFV  10H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_10H_RANK","D0010131","Int16","100","true","false","","D0010131","ReadWrite","CCW  LFV  10H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_1H_DEG","D0010103","Int16","100","true","false","","D0010103","ReadWrite","CCW  LFV  1H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_1H_KGF","D0010102","Int16","100","true","false","","D0010102","ReadWrite","CCW  LFV  1H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_1H_RANK","D0010104","Int16","100","true","false","","D0010104","ReadWrite","CCW  LFV  1H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_2H_DEG","D0010106","Int16","100","true","false","","D0010106","ReadWrite","CCW  LFV  2H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_2H_KGF","D0010105","Int16","100","true","false","","D0010105","ReadWrite","CCW  LFV  2H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_2H_RANK","D0010107","Int16","100","true","false","","D0010107","ReadWrite","CCW  LFV  2H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_3H_DEG","D0010109","Int16","100","true","false","","D0010109","ReadWrite","CCW  LFV  3H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_3H_KGF","D0010108","Int16","100","true","false","","D0010108","ReadWrite","CCW  LFV  3H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_3H_RANK","D0010110","Int16","100","true","false","","D0010110","ReadWrite","CCW  LFV  3H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_4H_DEG","D0010112","Int16","100","true","false","","D0010112","ReadWrite","CCW  LFV  4H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_4H_KGF","D0010111","Int16","100","true","false","","D0010111","ReadWrite","CCW  LFV  4H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_4H_RANK","D0010113","Int16","100","true","false","","D0010113","ReadWrite","CCW  LFV  4H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_5H_DEG","D0010115","Int16","100","true","false","","D0010115","ReadWrite","CCW  LFV  5H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_5H_KGF","D0010114","Int16","100","true","false","","D0010114","ReadWrite","CCW  LFV  5H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_5H_RANK","D0010116","Int16","100","true","false","","D0010116","ReadWrite","CCW  LFV  5H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_6H_DEG","D0010118","Int16","100","true","false","","D0010118","ReadWrite","CCW  LFV  6H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_6H_KGF","D0010117","Int16","100","true","false","","D0010117","ReadWrite","CCW  LFV  6H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_6H_RANK","D0010119","Int16","100","true","false","","D0010119","ReadWrite","CCW  LFV  6H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_7H_DEG","D0010121","Int16","100","true","false","","D0010121","ReadWrite","CCW  LFV  7H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_7H_KGF","D0010120","Int16","100","true","false","","D0010120","ReadWrite","CCW  LFV  7H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_7H_RANK","D0010122","Int16","100","true","false","","D0010122","ReadWrite","CCW  LFV  7H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_8H_DEG","D0010124","Int16","100","true","false","","D0010124","ReadWrite","CCW  LFV  8H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_8H_KGF","D0010123","Int16","100","true","false","","D0010123","ReadWrite","CCW  LFV  8H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_8H_RANK","D0010125","Int16","100","true","false","","D0010125","ReadWrite","CCW  LFV  8H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_9H_DEG","D0010127","Int16","100","true","false","","D0010127","ReadWrite","CCW  LFV  9H  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_9H_KGF","D0010126","Int16","100","true","false","","D0010126","ReadWrite","CCW  LFV  9H  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_9H_RANK","D0010128","Int16","100","true","false","","D0010128","ReadWrite","CCW  LFV  9H  RANK"
"ChannelD1101.DeviceD1101","","CCW_LFV_OA_DEG","D0010100","Int16","100","true","false","","D0010100","ReadWrite","CCW  LFV  OA  角度"
"ChannelD1101.DeviceD1101","","CCW_LFV_OA_KGF","D0010099","Int16","100","true","false","","D0010099","ReadWrite","CCW  LFV  OA  量"
"ChannelD1101.DeviceD1101","","CCW_LFV_OA_RANK","D0010101","Int16","100","true","false","","D0010101","ReadWrite","CCW  LFV  OA  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_10H_DEG","D0010097","Int16","100","true","false","","D0010097","ReadWrite","CCW  RFV  10H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_10H_KGF","D0010096","Int16","100","true","false","","D0010096","ReadWrite","CCW  RFV  10H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_10H_RANK","D0010098","Int16","100","true","false","","D0010098","ReadWrite","CCW  RFV  10H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_1H_DEG","D0010070","Int16","100","true","false","","D0010070","ReadWrite","CCW  RFV  1H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_1H_KGF","D0010069","Int16","100","true","false","","D0010069","ReadWrite","CCW  RFV  1H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_1H_RANK","D0010071","Int16","100","true","false","","D0010071","ReadWrite","CCW  RFV  1H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_2H_DEG","D0010073","Int16","100","true","false","","D0010073","ReadWrite","CCW  RFV  2H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_2H_KGF","D0010072","Int16","100","true","false","","D0010072","ReadWrite","CCW  RFV  2H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_2H_RANK","D0010074","Int16","100","true","false","","D0010074","ReadWrite","CCW  RFV  2H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_3H_DEG","D0010076","Int16","100","true","false","","D0010076","ReadWrite","CCW  RFV  3H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_3H_KGF","D0010075","Int16","100","true","false","","D0010075","ReadWrite","CCW  RFV  3H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_3H_RANK","D0010077","Int16","100","true","false","","D0010077","ReadWrite","CCW  RFV  3H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_4H_DEG","D0010079","Int16","100","true","false","","D0010079","ReadWrite","CCW  RFV  4H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_4H_KGF","D0010078","Int16","100","true","false","","D0010078","ReadWrite","CCW  RFV  4H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_4H_RANK","D0010080","Int16","100","true","false","","D0010080","ReadWrite","CCW  RFV  4H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_5H_DEG","D0010082","Int16","100","true","false","","D0010082","ReadWrite","CCW  RFV  5H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_5H_KGF","D0010081","Int16","100","true","false","","D0010081","ReadWrite","CCW  RFV  5H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_5H_RANK","D0010083","Int16","100","true","false","","D0010083","ReadWrite","CCW  RFV  5H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_6H_DEG","D0010085","Int16","100","true","false","","D0010085","ReadWrite","CCW  RFV  6H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_6H_KGF","D0010084","Int16","100","true","false","","D0010084","ReadWrite","CCW  RFV  6H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_6H_RANK","D0010086","Int16","100","true","false","","D0010086","ReadWrite","CCW  RFV  6H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_7H_DEG","D0010088","Int16","100","true","false","","D0010088","ReadWrite","CCW  RFV  7H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_7H_KGF","D0010087","Int16","100","true","false","","D0010087","ReadWrite","CCW  RFV  7H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_7H_RANK","D0010089","Int16","100","true","false","","D0010089","ReadWrite","CCW  RFV  7H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_8H_DEG","D0010091","Int16","100","true","false","","D0010091","ReadWrite","CCW  RFV  8H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_8H_KGF","D0010090","Int16","100","true","false","","D0010090","ReadWrite","CCW  RFV  8H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_8H_RANK","D0010092","Int16","100","true","false","","D0010092","ReadWrite","CCW  RFV  8H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_9H_DEG","D0010094","Int16","100","true","false","","D0010094","ReadWrite","CCW  RFV  9H  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_9H_KGF","D0010093","Int16","100","true","false","","D0010093","ReadWrite","CCW  RFV  9H  量"
"ChannelD1101.DeviceD1101","","CCW_RFV_9H_RANK","D0010095","Int16","100","true","false","","D0010095","ReadWrite","CCW  RFV  9H  RANK"
"ChannelD1101.DeviceD1101","","CCW_RFV_OA_DEG","D0010067","Int16","100","true","false","","D0010067","ReadWrite","CCW  RFV  OA  角度"
"ChannelD1101.DeviceD1101","","CCW_RFV_OA_KGF","D0010066","Int16","100","true","false","","D0010066","ReadWrite","CCW  RFV  OA  量"
